p, k, repitition, day
0.050000,43,0,11
0.050000,44,0,11
0.060000,1,0,49
0.060000,2,0,27
0.060000,3,0,19
0.060000,4,0,17
0.060000,5,0,17
0.060000,6,0,15
0.060000,7,0,15
0.060000,8,0,13
0.060000,9,0,13
0.060000,10,0,13
0.060000,11,0,13
0.060000,12,0,13
0.060000,13,0,13
0.060000,14,0,13
0.060000,15,0,13
0.060000,16,0,13
0.060000,17,0,13
0.060000,18,0,11
0.060000,19,0,11
0.060000,20,0,11
0.060000,21,0,11
0.060000,22,0,11
0.060000,23,0,11
0.060000,24,0,11
0.060000,25,0,11
0.060000,26,0,11
0.060000,27,0,11
0.060000,28,0,11
0.060000,29,0,11
0.060000,30,0,11
0.060000,31,0,11
0.060000,32,0,11
0.060000,33,0,11
0.060000,34,0,11
0.060000,35,0,11
0.060000,36,0,11
0.060000,37,0,11
0.060000,38,0,11
0.060000,39,0,11
0.060000,40,0,11
0.060000,41,0,11
0.060000,42,0,11
0.060000,43,0,11
0.060000,44,0,11
0.070000,1,0,55
0.070000,2,0,25
0.070000,3,0,19
0.070000,4,0,17
0.070000,5,0,15
0.070000,6,0,15
0.070000,7,0,15
0.070000,8,0,15
0.070000,9,0,13
0.070000,10,0,13
0.070000,11,0,13
0.070000,12,0,13
0.070000,13,0,13
0.070000,14,0,13
0.070000,15,0,13
0.070000,16,0,13
0.070000,17,0,11
0.070000,18,0,11
0.070000,19,0,11
0.070000,20,0,11
0.070000,21,0,11
0.070000,22,0,11
0.070000,23,0,11
0.070000,24,0,11
0.070000,25,0,11
0.070000,26,0,11
0.070000,27,0,11
0.070000,28,0,11
0.070000,29,0,11
0.070000,30,0,11
0.070000,31,0,11
0.070000,32,0,11
0.070000,33,0,11
0.070000,34,0,11
0.070000,35,0,11
0.070000,36,0,11
0.070000,37,0,11
0.070000,38,0,11
0.070000,39,0,11
0.070000,40,0,11
0.070000,41,0,11
0.070000,42,0,11
0.070000,43,0,11
0.070000,44,0,11
0.080000,1,0,55
0.080000,2,0,23
0.080000,3,0,19
0.080000,4,0,17
0.080000,5,0,15
0.080000,6,0,15
0.080000,7,0,15
0.080000,8,0,13
0.080000,9,0,13
0.080000,10,0,13
0.080000,11,0,13
0.080000,12,0,13
0.080000,13,0,13
0.080000,14,0,13
0.080000,15,0,11
0.080000,16,0,11
0.080000,17,0,11
0.080000,18,0,11
0.080000,19,0,11
0.080000,20,0,11
0.080000,21,0,11
0.080000,22,0,11
0.080000,23,0,11
0.080000,24,0,11
0.080000,25,0,11
0.080000,26,0,11
0.080000,27,0,11
0.080000,28,0,11
0.080000,29,0,11
0.080000,30,0,11
0.080000,31,0,11
0.080000,32,0,11
0.080000,33,0,11
0.080000,34,0,11
0.080000,35,0,11
0.080000,36,0,11
0.080000,37,0,11
0.080000,38,0,11
0.080000,39,0,11
0.080000,40,0,11
0.080000,41,0,11
0.080000,42,0,11
0.080000,43,0,11
0.080000,44,0,11
0.090000,1,0,49
0.090000,2,0,21
0.090000,3,0,17
0.090000,4,0,17
0.090000,5,0,15
0.090000,6,0,15
0.090000,7,0,13
0.090000,8,0,13
0.090000,9,0,13
0.090000,10,0,13
0.090000,11,0,13
0.090000,12,0,13
0.090000,13,0,13
0.090000,14,0,13
0.090000,15,0,13
0.090000,16,0,11
0.090000,17,0,11
0.090000,18,0,11
0.090000,19,0,11
0.090000,20,0,11
0.090000,21,0,11
0.090000,22,0,11
0.090000,23,0,11
0.090000,24,0,11
0.090000,25,0,11
0.090000,26,0,11
0.090000,27,0,11
0.090000,28,0,11
0.090000,29,0,11
0.090000,30,0,11
0.090000,31,0,11
0.090000,32,0,11
0.090000,33,0,11
0.090000,34,0,11
0.090000,35,0,11
0.090000,36,0,11
0.090000,37,0,11
0.090000,38,0,11
0.090000,39,0,11
0.090000,40,0,11
0.090000,41,0,11
0.090000,42,0,11
0.090000,43,0,11
0.090000,44,0,11
0.100000,1,0,41
0.100000,2,0,21
0.100000,3,0,17
0.100000,4,0,17
0.100000,5,0,15
0.100000,6,0,15
0.100000,7,0,13
0.100000,8,0,13
0.100000,9,0,13
0.100000,10,0,13
0.100000,11,0,13
0.100000,12,0,13
0.100000,13,0,13
0.100000,14,0,11
0.100000,15,0,11
0.100000,16,0,11
0.100000,17,0,11
0.100000,18,0,11
0.100000,19,0,11
0.100000,20,0,11
0.100000,21,0,11
0.100000,22,0,11
0.100000,23,0,11
0.100000,24,0,11
0.100000,25,0,11
0.100000,26,0,11
0.100000,27,0,11
0.100000,28,0,11
0.100000,29,0,11
0.100000,30,0,11
0.100000,31,0,11
0.100000,32,0,11
0.100000,33,0,11
0.100000,34,0,11
0.100000,35,0,11
0.100000,36,0,11
0.100000,37,0,11
0.100000,38,0,11
0.100000,39,0,11
0.100000,40,0,11
0.100000,41,0,11
0.100000,42,0,11
0.100000,43,0,11
0.100000,44,0,11
0.100000,1,0,41
0.100000,2,0,21
0.100000,3,0,17
0.100000,4,0,15
0.100000,5,0,15
0.100000,6,0,13
0.100000,7,0,13
0.100000,8,0,13
0.100000,9,0,13
0.100000,10,0,13
0.100000,11,0,13
0.100000,12,0,13
0.100000,13,0,13
0.100000,14,0,11
0.100000,15,0,11
0.100000,16,0,11
0.100000,17,0,11
0.100000,18,0,11
0.100000,19,0,11
0.100000,20,0,11
0.100000,21,0,11
0.100000,22,0,11
0.100000,23,0,11
0.100000,24,0,11
0.100000,25,0,11
0.100000,26,0,11
0.100000,27,0,11
0.100000,28,0,11
0.100000,29,0,11
0.100000,30,0,11
0.100000,31,0,11
0.100000,32,0,11
0.100000,33,0,11
0.100000,34,0,11
0.100000,35,0,11
0.100000,36,0,11
0.100000,37,0,11
0.100000,38,0,11
0.100000,39,0,11
0.100000,40,0,11
0.100000,41,0,11
0.100000,42,0,11
0.100000,43,0,11
0.100000,44,0,11
0.110000,1,0,40
0.110000,2,0,21
0.110000,3,0,19
0.110000,4,0,15
0.110000,5,0,15
0.110000,6,0,13
0.110000,7,0,13
0.110000,8,0,13
0.110000,9,0,13
0.110000,10,0,13
0.110000,11,0,13
0.110000,12,0,13
0.110000,13,0,13
0.110000,14,0,13
0.110000,15,0,11
0.110000,16,0,11
0.110000,17,0,11
0.110000,18,0,11
0.110000,19,0,11
0.110000,20,0,11
0.110000,21,0,11
0.110000,22,0,11
0.110000,23,0,11
0.110000,24,0,11
0.110000,25,0,11
0.110000,26,0,11
0.110000,27,0,11
0.110000,28,0,11
0.110000,29,0,11
0.110000,30,0,11
0.110000,31,0,11
0.110000,32,0,11
0.110000,33,0,11
0.110000,34,0,11
0.110000,35,0,11
0.110000,36,0,11
0.110000,37,0,11
0.110000,38,0,11
0.110000,39,0,11
